"Timestamp"," 1. Age Group  ","2.Gender","3.Daily Screen Time","4. When you are stressed, you usually","5. When someone criticizes you, you","6. During conflicts, you tend to ","7. After failure, you  ","8. You make decisions mainly based on","9. Before making an important decision, you","10. After making decisions, you usually ","11. In social gatherings, you  ","12. When meeting new people, you","13. Peer pressure affects you","14. Under academic/work pressure, you","15. When faced with sudden change, you","16. When reading information online, you","17. If proven wrong, you","18. When solving problems, you  "
"2026/02/13 9:02:13 PM GMT+5:30","18-20","Male","4-6 hours","Stay calm and think logically","Accept and reflect","Argue strongly","Try again immediately","Logical reasoning","Analyze pros and cons","Doubt yourself","Talk to a few close individuals","Start the conversation","Strongly","Stay productive","Adapt quickly","Verify from multiple sources","Accept immediately","Consider multiple perspectives"
"2026/02/13 9:09:09 PM GMT+5:30","18-20","Prefer not to say","Less than 2 hours","Feel anxious but manage it","Defend yourself immediately","Avoid confrontation","Try again immediately","Emotional instinct","Ask multiple people","Doubt yourself","Talk to a few close individuals","Feel nervous but try","Slightly","Stay productive","Adapt quickly","Trust what matches your beliefs","Defend your point","Stick to one method"
"2026/02/13 9:21:23 PM GMT+5:30","18-20","Female","4-6 hours","Feel anxious but manage it","Accept and reflect","Solve the issue calmly","Try again immediately","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Stay quiet mostly","Start the conversation","Moderately","Feel stressed but continue","Adapt quickly","Verify from multiple sources","Accept immediately","Consider multiple perspectives"
"2026/02/13 9:27:38 PM GMT+5:30","18-20","Male","4-6 hours","Feel anxious but manage it","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Talk to a few close individuals","Feel nervous but try","Moderately","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/13 9:32:58 PM GMT+5:30","18-20","Male","4-6 hours","Stay calm and think logically","Ignore it","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Feel confident","Actively interact with many people","Feel nervous but try","Moderately","Stay productive","Adapt quickly","Believe familiar sources","Accept immediately","Consider multiple perspectives"
"2026/02/13 9:37:53 PM GMT+5:30","18-20","Male","6-8 hours","Withdraw from the situation","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Rarely think about it again","Talk to a few close individuals","Start the conversation","Moderately","Feel stressed but continue","Take time to adjust","Trust what matches your beliefs","Defend your point","Consider multiple perspectives"
"2026/02/13 9:39:43 PM GMT+5:30","18-20","Male","6-8 hours","Stay calm and think logically","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Talk to a few close individuals","Feel nervous but try","Moderately","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Stick to one method"
"2026/02/13 9:40:08 PM GMT+5:30","18-20","Male","More than 8 hours","Stay calm and think logically","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Rarely think about it again","Actively interact with many people","Start the conversation","Not at all","Stay productive","Take time to adjust","Verify from multiple sources","Accept immediately","Consider multiple perspectives"
"2026/02/13 9:45:06 PM GMT+5:30","18-20","Male","2-4 hours","Feel anxious but manage it","Ignore it","Solve the issue calmly","Try again immediately","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Actively interact with many people","Start the conversation","Strongly","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/13 9:59:52 PM GMT+5:30","Above 26","Male","6-8 hours","Feel anxious but manage it","Feel upset for a long time","Argue strongly","Take time to recover","Situational pressure","Analyze pros and cons","Overthink repeatedly","Talk to a few close individuals","Wait for others to start","Moderately","Feel stressed but continue","Adapt quickly","Rarely verify","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/13 10:14:12 PM GMT+5:30","24-26","Male","4-6 hours","React emotionally","Accept and reflect","Solve the issue calmly","Take time to recover","Emotional instinct","Go with your first instinct","Feel confident","Stay quiet mostly","Wait for others to start","Moderately","Feel stressed but continue","Take time to adjust","Trust what matches your beliefs","Accept but feel uncomfortable","Ask others for help"
"2026/02/13 10:17:23 PM GMT+5:30","18-20","Male","More than 8 hours","Stay calm and think logically","Accept and reflect","Solve the issue calmly","Take time to recover","Emotional instinct","Go with your first instinct","Feel confident","Talk to a few close individuals","Wait for others to start","Slightly","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/13 10:38:03 PM GMT+5:30","18-20","Male","More than 8 hours","Stay calm and think logically","Defend yourself immediately","Solve the issue calmly","Feel demotivated","Logical reasoning","Analyze pros and cons","Doubt yourself","Talk to a few close individuals","Wait for others to start","Not at all","Stay productive","Adapt quickly","Verify from multiple sources","Accept but feel uncomfortable","Avoid complex problems"
"2026/02/13 10:42:06 PM GMT+5:30","18-20","Female","4-6 hours","Withdraw from the situation","Defend yourself immediately","Avoid confrontation","Take time to recover","Emotional instinct","Analyze pros and cons","Overthink repeatedly","Actively interact with many people","Start the conversation","Moderately","Procrastinate","Adapt quickly","Verify from multiple sources","Accept but feel uncomfortable","Ask others for help"
"2026/02/13 10:50:58 PM GMT+5:30","21-23","Male","Less than 2 hours","React emotionally","Accept and reflect","Solve the issue calmly","Try again immediately","Emotional instinct","Analyze pros and cons","Feel confident","Talk to a few close individuals","Start the conversation","Strongly","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept immediately","Consider multiple perspectives"
"2026/02/13 11:04:00 PM GMT+5:30","18-20","Male","4-6 hours","Stay calm and think logically","Ignore it","Avoid confrontation","Try again immediately","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Avoid attending","Avoid interaction","Not at all","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Ask others for help"
"2026/02/14 1:05:41 AM GMT+5:30","18-20","Male","More than 8 hours","Feel anxious but manage it","Ignore it","Seek third-person support","Blame external factors","Situational pressure","Ask multiple people","Overthink repeatedly","Avoid attending","Feel nervous but try","Strongly","Feel stressed but continue","Take time to adjust","Believe familiar sources","Accept immediately","Avoid complex problems"
"2026/02/14 2:17:18 AM GMT+5:30","24-26","Male","2-4 hours","Feel anxious but manage it","Accept and reflect","Solve the issue calmly","Feel demotivated","Situational pressure","Analyze pros and cons","Doubt yourself","Talk to a few close individuals","Wait for others to start","Slightly","Feel stressed but continue","Take time to adjust","Believe familiar sources","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/14 10:16:25 AM GMT+5:30","18-20","Female","4-6 hours","Feel anxious but manage it","Ignore it","Argue strongly","Feel demotivated","Situational pressure","Analyze pros and cons","Doubt yourself","Avoid attending","Feel nervous but try","Moderately","Feel stressed but continue","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Consider multiple perspectives"
"2026/02/14 10:19:05 AM GMT+5:30","18-20","Female","6-8 hours","Feel anxious but manage it","Defend yourself immediately","Solve the issue calmly","Take time to recover","Situational pressure","Analyze pros and cons","Doubt yourself","Talk to a few close individuals","Feel nervous but try","Moderately","Feel stressed but continue","Take time to adjust","Believe familiar sources","Accept but feel uncomfortable","Stick to one method"
"2026/02/14 11:01:24 AM GMT+5:30","18-20","Male","2-4 hours","Stay calm and think logically","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Overthink repeatedly","Stay quiet mostly","Feel nervous but try","Moderately","Stay productive","Take time to adjust","Verify from multiple sources","Accept immediately","Avoid complex problems"
"2026/02/14 3:01:27 PM GMT+5:30","18-20","Male","More than 8 hours","Feel anxious but manage it","Feel upset for a long time","Argue strongly","Take time to recover","Emotional instinct","Analyze pros and cons","Rarely think about it again","Talk to a few close individuals","Wait for others to start","Moderately","Feel stressed but continue","Take time to adjust","Believe familiar sources","Defend your point","Consider multiple perspectives"
"2026/02/14 3:06:53 PM GMT+5:30","18-20","Male","2-4 hours","Stay calm and think logically","Accept and reflect","Solve the issue calmly","Take time to recover","Logical reasoning","Analyze pros and cons","Rarely think about it again","Actively interact with many people","Start the conversation","Moderately","Lose focus","Adapt quickly","Verify from multiple sources","Accept immediately","Consider multiple perspectives"
"2026/02/14 3:13:49 PM GMT+5:30","18-20","Male","4-6 hours","Withdraw from the situation","Ignore it","Seek third-person support","Feel demotivated","Advice from others","Ask multiple people","Doubt yourself","Talk to a few close individuals","Feel nervous but try","Moderately","Procrastinate","Take time to adjust","Verify from multiple sources","Accept but feel uncomfortable","Ask others for help"
